ข้อมูลคลองในพื้นที่เขต (สนน.และสนข.),,,,,,,,,
เขตคลองเตย,,,,,,,,,
14,ลำรางแยกคลองคู้บอน,แยกคลองตาเร่ง,คลองคู้บอน, 4 - 5,"1,500",-2.00,คันนายาว,,
15,ลำรางแยกคลองบ้านเกาะ,คลองบางชัน,คลองบ้านเกาะ, 5 - 6,600,-2.00,คันนายาว,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
16,ลำรางแยกคลองหนองแขม,คลองหนองแขม,สุดระยะที่กำหนดให้, 4 - 6,"1,060",-2.00,คันนายาว,,
17,ลำรางแยกคลองหลวงวิจิตร,คลองหลวงวิจิตร,จุดสิ้นสุดท้าย ม.ปัฐวิกรณ์, 3 - 5,600,-2.00,คันนายาว,,
18,ลำรางสีพูม,คลองบางชันด้านเหนือ,คลองบางชันด้านใต้, 4 - 6,"3,590",-2.00,คันนายาว,,
19,ลำรางสุเหร่าแดง,ลำบึงกุ่ม,คลองแสนแสบ, 4 - 6,250,-2.00,คันนายาว,,
